Q2,beta,x,xF2D3,rel_err,table,model_gcft_template,delta_rel_model_minus_data
4.5,0.04,0.00012,0.0203,4.531004303683677e-05,Table1.csv,0.022393794533052156,0.10314258783508165
4.5,0.04,0.00029,0.0182,4.2544094772365294e-05,Table1.csv,0.014877074390953135,-0.1825783301674102
4.5,0.04,0.00067,0.0091,3.448187929913333e-05,Table1.csv,0.010091682869988714,0.1089761395591993
4.5,0.1,0.00012,0.0112,4.648655719667784e-05,Table1.csv,0.011237960262226987,0.0033893091274095296
4.5,0.1,0.00029,0.0174,6.041522986797286e-05,Table1.csv,0.017279507358422246,-0.006924864458491526
4.5,0.1,0.00067,0.0259,8.586617494683224e-05,Table1.csv,0.02599250800757785,0.003571737744318519
4.5,0.2,0.00012,0.0238,7.337574531137657e-05,Table1.csv,0.025087321859045567,0.05408915374141028
4.5,0.2,0.00029,0.0246,7.116881339463234e-05,Table1.csv,0.02207756864777271,-0.10253785984663785
4.5,0.2,0.00067,0.0185,6.741661516273269e-05,Table1.csv,0.019555919779811526,0.057076744854677126
4.5,0.4,0.00012,0.0433,0.00013412307780542466,Table1.csv,0.04004090321196778,-0.07526782420397735
4.5,0.4,0.00029,0.0372,0.00011101801655587257,Table1.csv,0.035060089066847794,-0.057524487450328045
4.5,0.4,0.00067,0.0218,0.00010923827168167758,Table1.csv,0.03090749301223417,0.41777490881808116
4.5,0.4,0.0016,0.0335,0.0001443675863897433,Table1.csv,0.02711137079093045,-0.19070534952446427
4.5,0.65,0.00012,0.0566,0.00019448650338776727,Table1.csv,0.0473874179905567,-0.16276646659793811
4.5,0.65,0.00029,0.033,0.00010881176406988355,Table1.csv,0.044672029230314235,0.3536978554640677
4.5,0.65,0.00067,0.0451,0.00016352675622050355,Table1.csv,0.042239137023951025,-0.06343376887026556
4.5,0.65,0.0016,0.0423,0.0001817305698004604,Table1.csv,0.039850476346475316,-0.057908360603420354
4.5,0.9,0.00029,0.066,0.00022588713996153035,Table1.csv,0.07538002848319844,0.14212164368482483
4.5,0.9,0.00067,0.0678,0.0002654147697472769,Table1.csv,0.05223943198507687,-0.2295069028749724
4.5,0.9,0.0016,0.0314,0.00018238695128764006,Table1.csv,0.03568194620960422,0.13636771368166323
7.5,0.04,0.0002,0.0201,5.412947441089743e-05,Table2.csv,0.019677776039230134,-0.021006167202480885
7.5,0.04,0.0004,0.0195,5.0774009099144424e-05,Table2.csv,0.0203537816543004,0.04378367457950769
7.5,0.04,0.00079,0.0215,6.030754513325841e-05,Table2.csv,0.02104010990261565,-0.0213902370876441
7.5,0.1,0.0002,0.0205,7.404052944165107e-05,Table2.csv,0.01524759380112803,-0.25621493653034
7.5,0.1,0.0004,0.0195,6.293647591023826e-05,Table2.csv,0.018970529062233298,-0.02715235578290778
7.5,0.1,0.00079,0.0124,4.3965895873961214e-05,Table2.csv,0.023509088225714278,0.8958942117511515
7.5,0.1,0.00158,0.0298,9.280086206496145e-05,Table2.csv,0.029249194806037253,-0.018483395770561968
7.5,0.1,0.00316,0.049,0.00018584133017173548,Table2.csv,0.03639083696430862,-0.2573298578712526
7.5,0.2,0.0002,0.0258,8.709764635166671e-05,Table2.csv,0.022621845541171512,-0.1231842813499414
7.5,0.2,0.0004,0.021,6.894925670375278e-05,Table2.csv,0.021491256572141588,0.023393170101980307
7.5,0.2,0.00079,0.0174,5.63205113613149e-05,Table2.csv,0.020436177123073638,0.1744929381076804
7.5,0.2,0.00158,0.017,5.423098745182499e-05,Table2.csv,0.019414822946534942,0.14204840861970242
7.5,0.2,0.00316,0.0222,7.335529974037322e-05,Table2.csv,0.01844451375495848,-0.16916604707394237
7.5,0.4,0.0002,0.0354,0.00012614673994994877,Table2.csv,0.030024367276188117,-0.1518540317460984
7.5,0.4,0.0004,0.0277,0.00010295630140987003,Table2.csv,0.028677923308684808,0.035304090566238594
7.5,0.4,0.00079,0.0266,9.560334722173697e-05,Table2.csv,0.027414677483968506,0.030626973081522835
7.5,0.4,0.00158,0.0155,6.477653896280659e-05,Table2.csv,0.026185265160978008,0.6893719458695489
7.5,0.4,0.00316,0.0394,0.00012001666550941998,Table2.csv,0.025010985883444813,-0.36520340397348183
7.5,0.4,0.00668,0.0231,9.047098982546837e-05,Table2.csv,0.023801924670610368,0.03038634937707225
7.5,0.65,0.0002,0.0764,0.00024959366979152334,Table2.csv,0.05000571284658155,-0.3454749627410792
7.5,0.65,0.0004,0.0253,9.464142856064675e-05,Table2.csv,0.03921292850208313,0.5499181226119816
7.5,0.65,0.00079,0.0347,0.00012345444503945575,Table2.csv,0.03088553417355949,-0.10992696906168624
7.5,0.65,0.00158,0.0196,7.96994353806851e-05,Table2.csv,0.024219477622729805,0.23568763381274518
7.5,0.65,0.00316,0.0146,7.810889834071404e-05,Table2.csv,0.018992162901299986,0.3008330754315059
7.5,0.65,0.00668,0.0212,8.876936408468859e-05,Table2.csv,0.014606458426288353,-0.31101611196753054
7.5,0.9,0.0004,0.0638,0.00024200206610688264,Table2.csv,0.05774918948362931,-0.09484029022524587
7.5,0.9,0.00079,0.0434,0.00017009703113223348,Table2.csv,0.048228588297156774,0.11125779486536343
7.5,0.9,0.00158,0.0379,0.00016414932226482083,Table2.csv,0.040143671535540965,0.0591997766633499
7.5,0.9,0.00316,0.0365,0.0001875446613476374,Table2.csv,0.03341408946959382,-0.08454549398373082
7.5,0.9,0.00668,0.0257,0.00014342245291445828,Table2.csv,0.02740774264072666,0.06644912998936424
7.5,0.9,0.01778,0.022,0.00013248396129343355,Table2.csv,0.02115085142315203,-0.038597662583998625
9.0,0.04,0.00024,0.0279,4.420407221060069e-05,Table3.csv,0.02489608368822414,-0.10766725131813121
9.0,0.04,0.00042,0.0211,3.280243893371345e-05,Table3.csv,0.02639398648957571,0.25089983362918056
9.0,0.04,0.00075,0.0313,4.825971404805462e-05,Table3.csv,0.028041095136657437,-0.10411836624097648
