# H1+ZEUS combined NC ins836107 — Aaron et al., JHEP 01 (2010) 109.
# Fractions are symmetric averages of +/- %% columns on each sigma_r CSV row.
# HEPData ins836107 record text: first sys = uncorrelated experimental; second = correlated experimental;
# sys_3..sys_5 = three correlated combination sources; plus 0.5%% overall normalisation row.
# z_Q2_over_s_x = Q^2/(E_cm^2 * x); equals quoted y for standard DIS kinematics at fixed E_cm.
# sigma_rel_total_quadrature matches sqrt(sum of squared listed components) when none are missing.
Q2_GeV2,x,y_Bjorken,Ecm_GeV,F2,z_Q2_over_s_x,sigma_rel_stat,sigma_rel_sys_uncorrelated_experimental,sigma_rel_sys_correlated_experimental,sigma_rel_sys_combination_1,sigma_rel_sys_combination_2,sigma_rel_sys_combination_3,sigma_rel_sys_overall_normalisation,sigma_rel_total_quadrature_listed_sigma_r,sigma_rel_total_quadrature_rebuilt
0.5,1.58e-05,0.313,319.0,0.433,0.31097934985164416,0.0353,0.0148,0.0233,0.012199999999999999,0.0017000000000000001,0.0014000000000000002,0.005,0.04676227111678816,0.04676227111678816
0.5,2.12e-05,0.233,319.0,0.394,0.23176762866301784,0.0206,0.008,0.0195,0.011200000000000002,0.0025,0.0005,0.005,0.032024209592119525,0.032024209592119525
0.5,2.76e-05,0.179,319.0,0.38,0.17802441042231804,0.0171,0.0076,0.0194,0.013500000000000002,0.003,0.0039000000000000003,0.005,0.03095141353799532,0.03095141353799532
0.5,3.98e-05,0.124,319.0,0.368,0.12345411376020046,0.0148,0.008100000000000001,0.025699999999999997,0.0232,0.0052,0.020499999999999997,0.005,0.04422295783866113,0.04422295783866113
0.5,0.0001,0.049,319.0,0.349,0.04913473727655978,0.0174,0.014499999999999999,0.015,0.0069,0.0032,0.001,0.005,0.028668100739323486,0.028668100739323486
0.5,0.000251,0.02,319.0,0.308,0.019575592540462067,0.0187,0.0143,0.0155,0.0040999999999999995,0.0024,0.0036,0.005,0.029239699040858817,0.029239699040858817
0.5,0.000368,0.013,319.0,0.301,0.013351830781673854,0.0202,0.015,0.0161,0.008,0.0023,0.0016,0.005,0.031449960254346904,0.031449960254346904
0.5,0.0008,0.006,319.0,0.288,0.0061418421595699725,0.0204,0.0138,0.0146,0.0091,0.0018,0.0049,0.005,0.03090016181187406,0.03090016181187406
0.5,0.0032,0.002,301.0,0.183,0.0017245946512731646,0.11349999999999999,0.0639,0.0123,0.0025,0.0032,0.0055000000000000005,0.005,0.13110488167875367,0.13110488167875367
0.65,1.58e-05,0.407,319.0,0.472,0.40427315480713744,0.030899999999999997,0.054400000000000004,0.0151,0.0013,0.0001,0.0055000000000000005,0.005,0.0648006944407234,0.0648006944407234
0.65,1.64e-05,0.439,301.0,0.52,0.4374581554449004,0.0302,0.0728,0.023700000000000002,0.0042,0.0105,0.0038,0.005,0.08331206395234726,0.08331206395234726
0.65,3.98e-05,0.161,319.0,0.476,0.1604903478882606,0.0273,0.0068000000000000005,0.0231,0.0143,0.0014000000000000002,0.0014000000000000002,0.005,0.039478475147857475,0.039478475147857475
0.65,5.98e-05,0.107,319.0,0.42,0.10681464625339084,0.0199,0.0074,0.031400000000000004,0.0269,0.0023,0.021099999999999997,0.005,0.05134043240955417,0.05134043240955417
0.65,0.0001,0.064,319.0,0.411,0.06387515845952772,0.0208,0.0147,0.019799999999999998,0.01,0.005,0.0016,0.005,0.03454460884132284,0.03454460884132284
0.65,0.000251,0.026,319.0,0.362,0.025448270302600686,0.021400000000000002,0.0139,0.016200000000000003,0.0077,0.0017000000000000001,0.0051,0.005,0.03204372013359248,0.03204372013359248
0.65,0.000478,0.013,319.0,0.333,0.013363003861825882,0.0229,0.015,0.0187,0.0083,0.003,0.0031,0.005,0.034808045047086456,0.034808045047086456
0.65,0.0008,0.008,319.0,0.319,0.007984394807440965,0.021400000000000002,0.013500000000000002,0.015700000000000002,0.0064,0.0018,0.0034000000000000002,0.005,0.03110401903291599,0.03110401903291599
0.65,0.0032,0.002,319.0,0.225,0.0019960987018602413,0.057999999999999996,0.0318,0.011899999999999999,0.0027,0.0,0.0074,0.005,0.06785204492128442,0.06785204492128442
0.85,2e-05,0.471,301.0,0.617,0.46908974514630075,0.0296,0.0212,0.0203,0.0062,0.0139,0.0049,0.005,0.04492605034943535,0.04492605034943535
